date,cumulative_confirmed
2020-09-01,4823
2020-09-02,4831
2020-09-03,4839
2020-09-04,4851
2020-09-05,4858
2020-09-06,4879
2020-09-07,4890
2020-09-08,4896
2020-09-09,4902
2020-09-10,4914
2020-09-11,4926
2020-09-12,4939
2020-09-13,4958
2020-09-14,4972
2020-09-15,4976
2020-09-16,4985
2020-09-17,4994
2020-09-18,4997
2020-09-19,5010
2020-09-20,5033
2020-09-21,5039
2020-09-22,5047
2020-09-23,5050
2020-09-24,5057
2020-09-25,5059
2020-09-26,5060
2020-09-27,5066
2020-09-28,5076
2020-09-29,5080
2020-09-30,5088
2020-10-01,5098
2020-10-02,5105
2020-10-03,5109
2020-10-04,5114
2020-10-05,5125
2020-10-06,5133
2020-10-07,5144
2020-10-08,5162
2020-10-09,5170
2020-10-10,5176
2020-10-11,5183
2020-10-12,5194
2020-10-13,5202
2020-10-14,
2020-10-15,5214
2020-10-16,5221
2020-10-17,5238
2020-10-18,5242
2020-10-19,5257
2020-10-20,5262
2020-10-21,5270
2020-10-22,5281
2020-10-23,5285
2020-10-24,5290
2020-10-25,5296
2020-10-26,5304
2020-10-27,5309
2020-10-28,5311
2020-10-29,5314
2020-10-30,5321
2020-10-31,5324
2020-11-01,5331
2020-11-02,5337
2020-11-03,5346
2020-11-04,5349
2020-11-05,5356
2020-11-06,5362
2020-11-07,5365
2020-11-08,5375
2020-11-09,5381
2020-11-10,5390
2020-11-11,5408
2020-11-12,5431
2020-11-13,5437
2020-11-14,5445
2020-11-15,5459
2020-11-16,5467
2020-11-17,5471
2020-11-18,5480
2020-11-19,5492
2020-11-20,5518
2020-11-21,5561
2020-11-22,5629
2020-11-23,5702
2020-11-24,5782
2020-11-25,5867
2020-11-26,5948
2020-11-27,6040
2020-11-28,6124
2020-11-29,6239
2020-11-30,6315
2020-12-01,6397
2020-12-02,6500
2020-12-03,6590
2020-12-04,6702
2020-12-05,6803
2020-12-06,6898
2020-12-07,6976
2020-12-08,7076
2020-12-09,7180
2020-12-10,7292
2020-12-11,7378
2020-12-12,7447
2020-12-13,7542
2020-12-14,7624
2020-12-15,7722
2020-12-16,7804
2020-12-17,7900
2020-12-18,7970
2020-12-19,8079
2020-12-20,8153
2020-12-21,8238
2020-12-22,8301
2020-12-23,8354
2020-12-24,8425
2020-12-25,8482
2020-12-26,8541
2020-12-27,8611
2020-12-28,8672
2020-12-29,8725
2020-12-30,8779
2020-12-31,
